dataset,adt_name,hgnc_id,gene_symbol,uniprot_id,mapping_type,present_in_rna,use_for_alignment,use_for_kinetics,excluded_because
BMMC CITE-seq,CD185,HGNC:1060,CXCR5,,one_to_one,True,True,True,
BMMC CITE-seq,CD103,HGNC:6147,ITGAE,,one_to_one,True,True,True,
BMMC CITE-seq,CD69,HGNC:1694,CD69,,one_to_one,True,True,True,
BMMC CITE-seq,CD62L,HGNC:10720,SELL,,one_to_one,True,True,True,
BMMC CITE-seq,CD161,HGNC:6373,KLRB1,,one_to_one,True,True,True,
BMMC CITE-seq,CD152,HGNC:2505,CTLA4,,one_to_one,True,True,True,
BMMC CITE-seq,CD223,HGNC:6476,LAG3,,one_to_one,True,True,True,
BMMC CITE-seq,KLRG1,HGNC:6380,KLRG1,,one_to_one,True,True,True,
BMMC CITE-seq,CD27,HGNC:11922,CD27,,one_to_one,True,True,True,
BMMC CITE-seq,CD107a,HGNC:6499,LAMP1,,one_to_one,True,True,True,
BMMC CITE-seq,CD95,HGNC:11920,FAS,,one_to_one,True,True,True,
BMMC CITE-seq,CD134,HGNC:11918,TNFRSF4,,one_to_one,True,True,True,
BMMC CITE-seq,HLA-DR,HGNC:4947,HLA-DRA,,complex_curated,True,True,True,
BMMC CITE-seq,CD1c,HGNC:1636,CD1C,,one_to_one,True,True,True,
BMMC CITE-seq,CD11b,HGNC:6149,ITGAM,,one_to_one,True,True,True,
BMMC CITE-seq,CD64,HGNC:3613,FCGR1A,,one_to_one,False,True,True,
BMMC CITE-seq,CD141,HGNC:11784,THBD,,one_to_one,False,True,True,
BMMC CITE-seq,CD1d,HGNC:1637,CD1D,,one_to_one,True,True,True,
BMMC CITE-seq,CD314,HGNC:18788,KLRK1,,one_to_one,True,True,True,
BMMC CITE-seq,CD35,HGNC:2334,CR1,,one_to_one,True,True,True,
BMMC CITE-seq,CD57,HGNC:921,B3GAT1,,one_to_one,False,True,True,
BMMC CITE-seq,CD272,HGNC:21087,BTLA,,one_to_one,True,True,True,
BMMC CITE-seq,CD278,HGNC:5351,ICOS,,one_to_one,True,True,True,
BMMC CITE-seq,CD58,HGNC:1688,CD58,,one_to_one,True,True,True,
BMMC CITE-seq,CD39,HGNC:3363,ENTPD1,,one_to_one,True,True,True,
BMMC CITE-seq,CX3CR1,HGNC:2558,CX3CR1,,one_to_one,True,True,True,
BMMC CITE-seq,CD24,HGNC:1645,CD24,,one_to_one,True,True,True,
BMMC CITE-seq,CD21,HGNC:2336,CR2,,one_to_one,True,True,True,
BMMC CITE-seq,CD11a,HGNC:6148,ITGAL,,one_to_one,True,True,True,
BMMC CITE-seq,CD79b,HGNC:1699,CD79B,,one_to_one,True,True,True,
BMMC CITE-seq,CD244,HGNC:18171,CD244,,one_to_one,True,True,True,
BMMC CITE-seq,CD169,HGNC:11127,SIGLEC1,,one_to_one,False,True,True,
BMMC CITE-seq,integrinB7,HGNC:6162,ITGB7,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
BMMC CITE-seq,CD268,HGNC:17755,TNFRSF13C,,one_to_one,True,True,True,
BMMC CITE-seq,CD42b,HGNC:4439,GP1BA,,one_to_one,False,True,True,
BMMC CITE-seq,CD54,HGNC:5344,ICAM1,,one_to_one,True,True,True,
BMMC CITE-seq,CD62P,HGNC:10721,SELP,,one_to_one,False,True,True,
BMMC CITE-seq,CD119,HGNC:5439,IFNGR1,,one_to_one,True,True,True,
BMMC CITE-seq,TCR,,,,unmapped,,True,False,no single HGNC gene (complex / not found)
BMMC CITE-seq,CD192,HGNC:1603,CCR2,,one_to_one,True,True,True,
BMMC CITE-seq,CD122,HGNC:6009,IL2RB,,one_to_one,True,True,True,
BMMC CITE-seq,FceRIa,HGNC:3609,FCER1A,,one_to_one,True,True,True,
BMMC CITE-seq,CD41,HGNC:6138,ITGA2B,,one_to_one,False,True,True,
BMMC CITE-seq,CD137,HGNC:11924,TNFRSF9,,one_to_one,True,True,True,
BMMC CITE-seq,CD163,HGNC:1631,CD163,,one_to_one,True,True,True,
BMMC CITE-seq,CD83,HGNC:1703,CD83,,one_to_one,True,True,True,
BMMC CITE-seq,CD124,HGNC:6015,IL4R,,one_to_one,True,True,True,
BMMC CITE-seq,CD13,HGNC:500,ANPEP,,one_to_one,True,True,True,
BMMC CITE-seq,CD2,HGNC:1639,CD2,,one_to_one,True,True,True,
BMMC CITE-seq,CD226,HGNC:16961,CD226,,one_to_one,True,True,True,
BMMC CITE-seq,CD29,HGNC:6153,ITGB1,,one_to_one,True,True,True,
BMMC CITE-seq,CD303,HGNC:13258,CLEC4C,,one_to_one,True,True,True,
BMMC CITE-seq,CD49b,HGNC:6137,ITGA2,,one_to_one,False,True,True,
BMMC CITE-seq,CD81,HGNC:1701,CD81,,one_to_one,True,True,True,
BMMC CITE-seq,IgD,,IGHD,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
BMMC CITE-seq,CD18,HGNC:6155,ITGB2,,one_to_one,True,True,True,
BMMC CITE-seq,CD28,HGNC:1653,CD28,,one_to_one,True,True,True,
BMMC CITE-seq,CD38,HGNC:1667,CD38,,one_to_one,True,True,True,
BMMC CITE-seq,CD127,HGNC:6024,IL7R,,one_to_one,True,True,True,
BMMC CITE-seq,CD45,HGNC:9666,PTPRC,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
BMMC CITE-seq,CD22,HGNC:1643,CD22,,one_to_one,True,True,True,
BMMC CITE-seq,CD71,HGNC:11763,TFRC,,one_to_one,True,True,True,
BMMC CITE-seq,CD26,HGNC:3009,DPP4,,one_to_one,True,True,True,
BMMC CITE-seq,CD115,HGNC:2433,CSF1R,,one_to_one,True,True,True,
BMMC CITE-seq,CD63,HGNC:1692,CD63,,one_to_one,True,True,True,
BMMC CITE-seq,CD304,HGNC:8004,NRP1,,one_to_one,True,True,True,
BMMC CITE-seq,CD36,HGNC:1663,CD36,,one_to_one,True,True,True,
BMMC CITE-seq,CD172a,HGNC:9662,SIRPA,,one_to_one,True,True,True,
BMMC CITE-seq,CD72,HGNC:1696,CD72,,one_to_one,True,True,True,
BMMC CITE-seq,CD158,,,,unmapped,,True,False,no single HGNC gene (complex / not found)
BMMC CITE-seq,CD93,HGNC:15855,CD93,,one_to_one,False,True,True,
BMMC CITE-seq,CD49a,HGNC:6134,ITGA1,,one_to_one,True,True,True,
BMMC CITE-seq,CD49d,HGNC:6140,ITGA4,,one_to_one,True,True,True,
BMMC CITE-seq,CD73,HGNC:8021,NT5E,,one_to_one,True,True,True,
BMMC CITE-seq,CD9,HGNC:1709,CD9,,one_to_one,True,True,True,
BMMC CITE-seq,TCRVa7.2,,,,unmapped,,True,False,no single HGNC gene (complex / not found)
BMMC CITE-seq,TCRVd2,,,,unmapped,,True,False,no single HGNC gene (complex / not found)
BMMC CITE-seq,LOX-1,HGNC:8133,OLR1,,one_to_one,False,True,True,
BMMC CITE-seq,CD158b,,,,unmapped,,True,False,no single HGNC gene (complex / not found)
BMMC CITE-seq,CD158e1,HGNC:6338,KIR3DL1,,one_to_one,False,True,True,
BMMC CITE-seq,CD142,HGNC:3541,F3,,one_to_one,False,True,True,
BMMC CITE-seq,CD319,HGNC:21394,SLAMF7,,one_to_one,True,True,True,
BMMC CITE-seq,CD352,HGNC:21392,SLAMF6,,one_to_one,True,True,True,
BMMC CITE-seq,CD94,HGNC:6378,KLRD1,,one_to_one,True,True,True,
BMMC CITE-seq,CD162,HGNC:10722,SELPLG,,one_to_one,True,True,True,
BMMC CITE-seq,CD85j,HGNC:6605,LILRB1,,one_to_one,True,True,True,
BMMC CITE-seq,CD23,HGNC:3612,FCER2,,one_to_one,True,True,True,
BMMC CITE-seq,CD328,HGNC:10876,SIGLEC7,,one_to_one,True,True,True,
BMMC CITE-seq,HLA-E,HGNC:4962,HLA-E,,one_to_one,True,True,True,
BMMC CITE-seq,CD82,HGNC:6210,CD82,,one_to_one,True,True,True,
BMMC CITE-seq,CD101,HGNC:5949,CD101,,one_to_one,True,True,True,
BMMC CITE-seq,CD88,HGNC:1338,C5AR1,,one_to_one,True,True,True,
BMMC CITE-seq,CD224,HGNC:4250,GGT1,,one_to_one,False,True,True,
PBMC CITE-seq,CD3_TotalSeqB,HGNC:1674,CD3E,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
PBMC CITE-seq,CD4_TotalSeqB,HGNC:1678,CD4,,one_to_one,True,True,True,
PBMC CITE-seq,CD8a_TotalSeqB,HGNC:1706,CD8A,,one_to_one,True,True,True,
PBMC CITE-seq,CD11b_TotalSeqB,HGNC:6149,ITGAM,,one_to_one,True,True,True,
PBMC CITE-seq,CD14_TotalSeqB,HGNC:1628,CD14,,one_to_one,True,True,True,
PBMC CITE-seq,CD15_TotalSeqB,HGNC:4015,FUT4,,one_to_one,False,True,True,
PBMC CITE-seq,CD16_TotalSeqB,HGNC:3619,FCGR3A,,one_to_one,True,True,True,
PBMC CITE-seq,CD19_TotalSeqB,HGNC:1633,CD19,,one_to_one,True,True,True,
PBMC CITE-seq,CD20_TotalSeqB,HGNC:7315,MS4A1,,one_to_one,True,True,True,
PBMC CITE-seq,CD25_TotalSeqB,HGNC:6008,IL2RA,,one_to_one,True,True,True,
PBMC CITE-seq,CD27_TotalSeqB,HGNC:11922,CD27,,one_to_one,True,True,True,
PBMC CITE-seq,CD28_TotalSeqB,HGNC:1653,CD28,,one_to_one,True,True,True,
PBMC CITE-seq,CD34_TotalSeqB,HGNC:1662,CD34,,one_to_one,False,True,True,
PBMC CITE-seq,CD45RA_TotalSeqB,HGNC:9666,PTPRC,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
PBMC CITE-seq,CD45RO_TotalSeqB,HGNC:9666,PTPRC,,complex_curated,True,True,False,complex / representative-chain approximation — not kinetics-eligible unless allow-listed
PBMC CITE-seq,CD56_TotalSeqB,HGNC:7656,NCAM1,,one_to_one,True,True,True,
PBMC CITE-seq,CD62L_TotalSeqB,HGNC:10720,SELL,,one_to_one,True,True,True,
PBMC CITE-seq,CD69_TotalSeqB,HGNC:1694,CD69,,one_to_one,True,True,True,
PBMC CITE-seq,CD80_TotalSeqB,HGNC:1700,CD80,,one_to_one,False,True,True,
PBMC CITE-seq,CD86_TotalSeqB,HGNC:1705,CD86,,one_to_one,True,True,True,
PBMC CITE-seq,CD127_TotalSeqB,HGNC:6024,IL7R,,one_to_one,True,True,True,
PBMC CITE-seq,CD137_TotalSeqB,HGNC:11924,TNFRSF9,,one_to_one,False,True,True,
PBMC CITE-seq,CD197_TotalSeqB,HGNC:1608,CCR7,,one_to_one,True,True,True,
PBMC CITE-seq,CD274_TotalSeqB,HGNC:17635,CD274,,one_to_one,False,True,True,
PBMC CITE-seq,CD278_TotalSeqB,HGNC:5351,ICOS,,one_to_one,True,True,True,
PBMC CITE-seq,CD335_TotalSeqB,HGNC:6731,NCR1,,one_to_one,True,True,True,
PBMC CITE-seq,PD-1_TotalSeqB,HGNC:8760,PDCD1,,one_to_one,False,True,True,
PBMC CITE-seq,HLA-DR_TotalSeqB,HGNC:4947,HLA-DRA,,complex_curated,True,True,True,
PBMC CITE-seq,TIGIT_TotalSeqB,HGNC:26838,TIGIT,,one_to_one,True,True,True,
PBMC CITE-seq,IgG1_control_TotalSeqB,,,,isotype,,False,False,isotype control (no target gene)
PBMC CITE-seq,IgG2a_control_TotalSeqB,,,,isotype,,False,False,isotype control (no target gene)
PBMC CITE-seq,IgG2b_control_TotalSeqB,,,,isotype,,False,False,isotype control (no target gene)
Papalexi ECCITE-seq,CD86,,CD86,,one_to_one,True,True,True,
Papalexi ECCITE-seq,PDL1,,CD274,,one_to_one,True,True,True,
Papalexi ECCITE-seq,PDL2,,PDCD1LG2,,one_to_one,True,True,True,
Papalexi ECCITE-seq,CD366,,HAVCR2,,one_to_one,True,True,True,
